building,street,unit,type,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
1710,CW,4,2BR,947.68,187.24,968.4,194.64,4263.7,232.1,4359,266.1
1715,CW,1,2BR,885.52,194.64,906.24,202.04,3977.8,266.1,4073.1,300.2
1715,CW,2,2BR,864.8,194.64,885.52,202.04,3882.5,266.1,3977.8,300.2
1715,CW,3,2BR,885.52,202.04,906.24,209.44,3977.8,300.2,4073.1,334.2
1715,CW,4,2BR,864.8,202.04,885.52,209.44,3882.5,300.2,3977.8,334.2
1716,CW,1,2BR,926.96,194.64,947.68,202.04,4168.4,266.1,4263.7,300.2
1716,CW,2,2BR,947.68,194.64,968.4,202.04,4263.7,266.1,4359,300.2
1716,CW,3,2BR,926.96,202.04,947.68,209.44,4168.4,300.2,4263.7,334.2
1716,CW,4,2BR,947.68,202.04,968.4,209.44,4263.7,300.2,4359,334.2
1728,CW,1,2BR,926.96,231.64,947.68,239.04,4168.4,436.3,4263.7,470.4
1728,CW,2,2BR,947.68,231.64,968.4,239.04,4263.7,436.3,4359,470.4
1728,CW,3,2BR,926.96,239.04,947.68,246.44,4168.4,470.4,4263.7,504.4
1728,CW,4,2BR,947.68,239.04,968.4,246.44,4263.7,470.4,4359,504.4
1729,CW,1,2BR,885.52,231.64,906.24,239.04,3977.8,436.3,4073.1,470.4
1729,CW,2,2BR,864.8,231.64,885.52,239.04,3882.5,436.3,3977.8,470.4
1729,CW,3,2BR,885.52,239.04,906.24,246.44,3977.8,470.4,4073.1,504.4
1729,CW,4,2BR,864.8,239.04,885.52,246.44,3882.5,470.4,3977.8,504.4
1733,CW,1,2BR,885.52,246.44,906.24,253.84,3977.8,504.4,4073.1,538.5
1733,CW,2,2BR,864.8,246.44,885.52,253.84,3882.5,504.4,3977.8,538.5
1733,CW,3,2BR,885.52,253.84,906.24,261.24,3977.8,538.5,4073.1,572.5
1733,CW,4,2BR,864.8,253.84,885.52,261.24,3882.5,538.5,3977.8,572.5
1734,CW,1,2BR,926.96,246.44,947.68,253.84,4168.4,504.4,4263.7,538.5
1734,CW,2,2BR,947.68,246.44,968.4,253.84,4263.7,504.4,4359,538.5
1734,CW,3,2BR,926.96,253.84,947.68,261.24,4168.4,538.5,4263.7,572.5
1734,CW,4,2BR,947.68,253.84,968.4,261.24,4263.7,538.5,4359,572.5
1746,CW,1,2BR,926.96,283.44,947.68,290.84,4168.4,674.6,4263.7,708.7
1746,CW,2,2BR,947.68,283.44,968.4,290.84,4263.7,674.6,4359,708.7
1746,CW,3,2BR,926.96,290.84,947.68,298.24,4168.4,708.7,4263.7,742.7
1746,CW,4,2BR,947.68,290.84,968.4,298.24,4263.7,708.7,4359,742.7
1747,CW,1,2BR,885.52,283.44,906.24,290.84,3977.8,674.6,4073.1,708.7
1747,CW,2,2BR,864.8,283.44,885.52,290.84,3882.5,674.6,3977.8,708.7
1747,CW,3,2BR,885.52,290.84,906.24,298.24,3977.8,708.7,4073.1,742.7
1747,CW,4,2BR,864.8,290.84,885.52,298.24,3882.5,708.7,3977.8,742.7
1754,CW,1,2BR,926.96,298.24,947.68,305.64,4168.4,742.7,4263.7,776.7
1754,CW,2,2BR,947.68,298.24,968.4,305.64,4263.7,742.7,4359,776.7
1754,CW,3,2BR,926.96,305.64,947.68,313.04,4168.4,776.7,4263.7,810.8
1754,CW,4,2BR,947.68,305.64,968.4,313.04,4263.7,776.7,4359,810.8
1755,CW,1,2BR,885.52,298.24,906.24,305.64,3977.8,742.7,4073.1,776.7
1755,CW,2,2BR,864.8,298.24,885.52,305.64,3882.5,742.7,3977.8,776.7
1755,CW,3,2BR,885.52,305.64,906.24,313.04,3977.8,776.7,4073.1,810.8
1755,CW,4,2BR,864.8,305.64,885.52,313.04,3882.5,776.7,3977.8,810.8
3552,DE,1,2BR,1056.46,183.54,1077.18,190.94,4764.1,215.1,4859.4,249.1
3552,DE,2,2BR,1077.18,176.14,1097.9,183.54,4859.4,181,4954.7,215.1
3552,DE,3,2BR,1077.18,183.54,1097.9,190.94,4859.4,215.1,4954.7,249.1
3552,DE,4,2BR,1056.46,176.14,1077.18,183.54,4764.1,181,4859.4,215.1
3558,DE,1,2BR,1015.02,183.54,1035.74,190.94,4573.5,215.1,4668.8,249.1
3558,DE,2,2BR,1035.74,176.14,1056.46,183.54,4668.8,181,4764.1,215.1
3558,DE,3,2BR,1035.74,183.54,1056.46,190.94,4668.8,215.1,4764.1,249.1
3558,DE,4,2BR,1015.02,176.14,1035.74,183.54,4573.5,181,4668.8,215.1
3588,DE,1,2BR,818.18,183.54,838.9,190.94,3668,215.1,3763.3,249.1
3588,DE,2,2BR,818.18,176.14,838.9,183.54,3668,181,3763.3,215.1
3588,DE,3,2BR,838.9,183.54,859.62,190.94,3763.3,215.1,3858.7,249.1
3588,DE,4,2BR,838.9,176.14,859.62,183.54,3763.3,181,3858.7,215.1
3644,DU,1,1BR,600.8,623.84,621.52,631.24,2668.1,2240.5,2763.4,2274.5
3644,DU,2,1BR,600.8,631.24,621.52,638.64,2668.1,2274.5,2763.4,2308.5
3644,DU,3,1BR,580.08,623.84,600.8,631.24,2572.8,2240.5,2668.1,2274.5
